stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\SAM-Tech\source\repos\Project4 - Copy\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00028] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.02077] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.02087] Using desktop window: 00010010
audio    I              audio.c:391  do_install_audio                 [   0.02102] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.02116] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.02122] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.02128] added dtor for voice 009C98D0, func 77AB150A
dtor     D               dtor.c:196  _al_register_destructor          [   0.02134] added dtor for mixer 009CEDB0, func 77AB153C
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.02139] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.02144] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.02260] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.02267] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.02307] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.02316] added dtor for sample_instance 009E56F0, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02332] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02338] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02344] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02351] added dtor for sample_instance 009F1AE8, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02358] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02366] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02374] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02382] added dtor for sample_instance 009F5B68, func 77AB1208
